Interval Start,First Frame Delay,Buffer Empty Duration,Stall Duration
07/Jan/2025:15:05:00,159.66,160.52,1356.52
07/Jan/2025:15:10:00,149.8,158.65,1306.24
07/Jan/2025:15:15:00,151.62,166.15,1366.79
07/Jan/2025:15:20:00,149.01,231.22,1484.13
07/Jan/2025:15:25:00,150.43,177.84,1384.15
07/Jan/2025:15:30:00,148.26,133.85,1279.71
07/Jan/2025:15:35:00,148.82,134.96,1208.12
07/Jan/2025:15:40:00,148.46,160.2,1176.82
07/Jan/2025:15:45:00,146.12,184.76,1149.84
07/Jan/2025:15:50:00,157.51,227.29,1396.35
07/Jan/2025:15:55:00,147.48,194.36,1363.86
07/Jan/2025:16:00:00,149.21,177.97,1300.66
07/Jan/2025:16:05:00,153.89,187.68,1229.5
07/Jan/2025:16:10:00,147.7,180.74,1274.18
07/Jan/2025:16:15:00,139.29,201.95,1257.29
07/Jan/2025:16:20:00,140.52,178.8,1153.48
07/Jan/2025:16:25:00,138.72,153.77,1112.76
07/Jan/2025:16:30:00,141.9,148.54,1190.18
07/Jan/2025:16:35:00,134.46,177.05,1076.44
07/Jan/2025:16:40:00,137.3,194.72,1049.2
07/Jan/2025:16:45:00,133.76,184.1,1174.65
07/Jan/2025:16:50:00,135.81,163.04,1065.65
07/Jan/2025:16:55:00,135.66,216.8,1138.58
07/Jan/2025:17:00:00,143.82,252.17,1261.73
07/Jan/2025:17:05:00,144.96,182.01,1226.56
07/Jan/2025:17:10:00,146.91,160.44,1183.25
07/Jan/2025:17:15:00,141.5,172,1233.89
07/Jan/2025:17:20:00,132.63,200.57,1173.91
07/Jan/2025:17:25:00,144.55,244.76,1300.03
07/Jan/2025:17:30:00,143.52,321.32,1642.64
07/Jan/2025:17:35:00,145.07,282.43,1443.32
07/Jan/2025:17:40:00,141,220.52,1375.94
07/Jan/2025:17:45:00,140.51,225.55,1193.48
07/Jan/2025:17:50:00,141.36,220.06,1268.28
07/Jan/2025:17:55:00,136.16,233.07,1397.75
07/Jan/2025:18:00:00,132.39,293.22,1448.72
07/Jan/2025:18:05:00,139.17,275.32,1352.82
07/Jan/2025:18:10:00,136.6,197.89,1191.69
07/Jan/2025:18:15:00,144.24,210.62,1145.64
07/Jan/2025:18:20:00,148.39,221.46,1353.97
07/Jan/2025:18:25:00,148.1,196.66,1380.2
07/Jan/2025:18:30:00,145.19,203.99,1345.55
07/Jan/2025:18:35:00,135.1,224.79,1158.63
07/Jan/2025:18:40:00,144.8,360.8,1281.35
07/Jan/2025:18:45:00,134.09,417.34,1537.92
07/Jan/2025:18:50:00,135.55,238.18,1216.93
07/Jan/2025:18:55:00,138.64,209.91,1426.24
07/Jan/2025:19:00:00,154.69,315.03,1552.12
07/Jan/2025:19:05:00,161.25,305.29,1503.97
07/Jan/2025:19:10:00,154.82,334.86,1563.25
07/Jan/2025:19:15:00,157.44,324.28,1683.22
07/Jan/2025:19:20:00,144.02,298.45,1648.63
07/Jan/2025:19:25:00,156.84,342.29,1538.84
07/Jan/2025:19:30:00,150.66,203.1,1168.36
07/Jan/2025:19:35:00,145.09,301.85,1600.9
07/Jan/2025:19:40:00,156.37,285.56,1326.74
07/Jan/2025:19:45:00,145.4,332.31,1306.1
07/Jan/2025:19:50:00,143.5,122.75,1367.83
07/Jan/2025:19:55:00,141.56,307.63,1815.18
07/Jan/2025:20:00:00,156.65,341.71,1476.98
07/Jan/2025:20:05:00,145.93,344.36,1369.09
07/Jan/2025:20:10:00,150.41,321.53,1418.24
07/Jan/2025:20:15:00,158.39,155.22,1434.61
07/Jan/2025:20:20:00,148.21,229.68,1687.75
07/Jan/2025:20:25:00,155.96,193.01,1200.42
07/Jan/2025:20:30:00,160.72,252.71,1702.13
07/Jan/2025:20:35:00,186.73,261.8,1803.08
07/Jan/2025:20:40:00,170.84,309.91,1866.26
07/Jan/2025:20:45:00,187.29,249.59,1828.39
07/Jan/2025:20:50:00,157.18,308.28,1250.75
07/Jan/2025:20:55:00,149.65,440.95,1530.53
07/Jan/2025:21:00:00,166.51,369.94,1590.07
07/Jan/2025:21:05:00,150.07,321.49,1401.74
07/Jan/2025:21:10:00,157.82,277.75,1543.75
07/Jan/2025:21:15:00,142.54,183.03,1443.22
07/Jan/2025:21:20:00,156.08,212.15,990.22
07/Jan/2025:21:25:00,164.49,391.13,1553.64
07/Jan/2025:21:30:00,140,188.78,1251.89
07/Jan/2025:21:35:00,152.3,262.37,1333.77
07/Jan/2025:21:40:00,191.75,266.16,1622.11
07/Jan/2025:21:45:00,168.55,260.67,1538.23
07/Jan/2025:21:50:00,182.63,138.7,1352.68
07/Jan/2025:21:55:00,167.68,210.7,1368.57
07/Jan/2025:22:00:00,177.65,187.18,1456.71
07/Jan/2025:22:05:00,169.14,275.63,1384.51
07/Jan/2025:22:10:00,166,193.8,1443.54
07/Jan/2025:22:15:00,160.29,180.26,1137.46
07/Jan/2025:22:20:00,154.25,182.85,1111.73
07/Jan/2025:22:25:00,171.63,102.22,1159.97
07/Jan/2025:22:30:00,171.31,155.36,1482.18
07/Jan/2025:22:35:00,165.53,218.72,1057.02
07/Jan/2025:22:40:00,178.5,265.41,1353.09
07/Jan/2025:22:45:00,164.23,208.59,1112.42
07/Jan/2025:22:50:00,161.43,213.88,1309.49
07/Jan/2025:22:55:00,162.16,330.88,1302.12
07/Jan/2025:23:00:00,157.86,242.37,1502.19
07/Jan/2025:23:05:00,172.55,233.11,1333.51
07/Jan/2025:23:10:00,156.01,155.89,1178.25
07/Jan/2025:23:15:00,145.28,199.9,1107.21
07/Jan/2025:23:20:00,153.41,201.45,1039.61
07/Jan/2025:23:25:00,159.23,138.95,866.83
07/Jan/2025:23:30:00,162.82,165.35,1070.46
07/Jan/2025:23:35:00,156.85,233.81,1078.56
07/Jan/2025:23:40:00,158,148.35,956.77
07/Jan/2025:23:45:00,179.16,294.12,1278.93
07/Jan/2025:23:50:00,180.84,230.74,1227.78
07/Jan/2025:23:55:00,163.1,243,1148.75
08/Jan/2025:00:00:00,172.26,189.93,1027.89
08/Jan/2025:00:05:00,159.97,177.12,974.17
08/Jan/2025:00:10:00,152.95,200.37,1027.13
08/Jan/2025:00:15:00,160.45,257.12,1082.66
08/Jan/2025:00:20:00,166.85,225.37,1154.28
08/Jan/2025:00:25:00,164.97,240.57,1082.28
08/Jan/2025:00:30:00,151.58,276.89,1195.06
08/Jan/2025:00:35:00,163.8,321.97,1360.79
08/Jan/2025:00:40:00,158.62,276.67,1306.87
08/Jan/2025:00:45:00,157.14,270.57,1056.99
08/Jan/2025:00:50:00,150.2,279.95,1164.04
08/Jan/2025:00:55:00,166.32,278.44,1037.12
08/Jan/2025:01:00:00,162.75,307.74,985.8
08/Jan/2025:01:05:00,161.31,267.64,1168.19
08/Jan/2025:01:10:00,161.67,226.52,1196.96
08/Jan/2025:01:15:00,154.99,260.37,1177.01
08/Jan/2025:01:20:00,153.91,260.25,1227.72
08/Jan/2025:01:25:00,158.73,256.16,1074.96
08/Jan/2025:01:30:00,161.07,369.3,1195.85
08/Jan/2025:01:35:00,167.87,331.83,1352.99
08/Jan/2025:01:40:00,154.34,284.42,1269.86
08/Jan/2025:01:45:00,154.84,229.91,1106.57
08/Jan/2025:01:50:00,153.29,210.56,1081.21
08/Jan/2025:01:55:00,154.94,292.2,1274.08
08/Jan/2025:02:00:00,170.15,335.41,1342.98
08/Jan/2025:02:05:00,159.44,323.25,1306.33
08/Jan/2025:02:10:00,159.74,256.24,1292.91
08/Jan/2025:02:15:00,164.23,235.18,1216.22
08/Jan/2025:02:20:00,155.52,416.86,1398.53
08/Jan/2025:02:25:00,164.39,433.89,1391.7
08/Jan/2025:02:30:00,158.56,317.13,1527.54
08/Jan/2025:02:35:00,172.7,287.19,1471.7
08/Jan/2025:02:40:00,170.48,315.74,1355.61
08/Jan/2025:02:45:00,161.52,285.47,1462.61
08/Jan/2025:02:50:00,159.5,280.49,1292.06
08/Jan/2025:02:55:00,162.56,274.04,1338.1
08/Jan/2025:03:00:00,177.18,306.62,1452.21
08/Jan/2025:03:05:00,169.08,405.76,1597.04
08/Jan/2025:03:10:00,170.45,248.21,1350.53
08/Jan/2025:03:15:00,166.15,259.11,1269.26
08/Jan/2025:03:20:00,172.77,261.27,1327.57
08/Jan/2025:03:25:00,173.2,234.74,1267.35
08/Jan/2025:03:30:00,166.74,247.22,1344.9
08/Jan/2025:03:35:00,170.04,263.29,1321.97
08/Jan/2025:03:40:00,176.65,240.96,1250
08/Jan/2025:03:45:00,174.58,280.75,1393.01
08/Jan/2025:03:50:00,172.95,224.09,1287.16
08/Jan/2025:03:55:00,173.03,204.48,1298.59
08/Jan/2025:04:00:00,172.54,208.04,1182.38
08/Jan/2025:04:05:00,167.1,219.21,1166.01
08/Jan/2025:04:10:00,173.03,205.68,1200.28
08/Jan/2025:04:15:00,164.92,239.25,1307.76
08/Jan/2025:04:20:00,164.64,206.18,1229.41
08/Jan/2025:04:25:00,174.48,209.6,1240.96
08/Jan/2025:04:30:00,167.74,198.14,1225.24
08/Jan/2025:04:35:00,178.17,201.62,1258.6
08/Jan/2025:04:40:00,169.73,266.39,1362.11
08/Jan/2025:04:45:00,167.92,245.3,1375.53
08/Jan/2025:04:50:00,177.53,221.87,1364.9
08/Jan/2025:04:55:00,170.85,270.55,1324.44
